Cannonsville,Pepacton ,Neversink ,Rondout ,Ashokan ,Schoharie 
2.066666667,3.633333333,3.5,3.533333333,2.9,3.133333333
4.322580645,4.096774194,4.935483871,4.870967742,4.032258065,2.258064516
2.838709677,2.612903226,4.129032258,2.870967742,2.806451613,3.161290323
1.966666667,2.266666667,2.633333333,2.433333333,2.6,2.466666667
0.322580645,0.290322581,0.35483871,0.225806452,0.193548387,0.290322581
3.666666667,5,8.533333333,6.4,6.666666667,5.666666667
2,2,2.193548387,2.129032258,1.935483871,1.516129032
3.677419355,3.774193548,4.64516129,3.903225806,4.35483871,3.290322581
1.964285714,2.035714286,2.642857143,2.178571429,1.678571429,2.071428571
3.516129032,3.290322581,2.838709677,2.258064516,2.387096774,2.516129032
2.933333333,2.533333333,3.7,3.466666667,2.266666667,1.8
1.516129032,1.258064516,1.870967742,1.516129032,1.064516129,1.032258065
1.733333333,1.433333333,1.833333333,1.8,1.166666667,1.2
2.516129032,2.580645161,3.258064516,3.032258065,1.419354839,2.161290323
1.548387097,1.709677419,1.870967742,1.516129032,1.161290323,1.419354839
1.5,0.633333333,0.7,0.566666667,0.3,1
0.806451613,0.64516129,0.967741935,0.806451613,0.35483871,0.451612903
1.433333333,1.733333333,2.766666667,2.433333333,2.766666667,1.733333333
3.483870968,3.677419355,4.870967742,4.064516129,3.451612903,2.806451613
2.258064516,2.064516129,3.064516129,2.967741935,1.709677419,1.483870968
1.75,1.535714286,3.571428571,3.142857143,3.607142857,1.678571429
1.580645161,1.548387097,1.935483871,1.806451613,1.741935484,1.387096774
2.533333333,2.3,2.8,2.6,2.366666667,2.433333333
1.322580645,1.387096774,1.322580645,1.35483871,1.161290323,1.129032258
1.666666667,1.666666667,1.9,1.8,1.5,1.7
2.35483871,1.741935484,2.322580645,2.387096774,2,1.967741935
2.838709677,3.483870968,6.096774194,4.870967742,6.548387097,5.935483871
3.666666667,3.733333333,4.266666667,3.866666667,4.166666667,4.633333333
2.290322581,2.032258065,3.451612903,3.387096774,3.096774194,1.903225806
2.1,1.966666667,2.366666667,1.966666667,1.966666667,1.866666667
1.419354839,1.483870968,2.322580645,2.064516129,1.806451613,1
2.225806452,2.032258065,2.096774194,1.935483871,1.258064516,2.741935484
